ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res,gdp_cons_pop_urban_merged
88464,Marajo,-0.5528034615767199,0.9492055213164643,-1.3084317556116967,0.21573370665072586,0.0,0.0,0.9323700038926777,0.07626626194057835,0.41551331140811576,-0.22384256663161634,-0.2849573636360872,S,M,1,XS,0,-0.17097196614668608
88467,Marajo,-0.5885173541097866,1.1603048842412833,-1.3136542006796865,0.22359511157451734,0.0,0.0,0.8595623717722276,0.07626626194057835,0.3966223916835449,-0.22511887538541714,-0.8395266092636599,S,M,1,XS,0,-0.1945264384328668
88469,Marajo,-0.05495252439645872,0.6064150930219371,-0.9446089553481035,0.2929600101437702,0.0,0.0,0.8749392981939068,0.08481537447295848,0.7992160868537264,-0.18382916945350894,-0.3296414533828798,M,M,1,XS,0,-0.18858253523449817
88470,Marajo,-0.11609789303097462,0.8287846530473811,-0.9446089553481035,0.2929600101437702,0.0,0.0,0.9342122217312175,0.08481537447295848,0.844906961781169,-0.18748979552140096,-0.14987405340671198,S,L,1,XS,0,-0.1584888631833789
88474,Marajo,-0.04226158650468383,0.5734699098385622,-1.1042925575178895,0.3849422056272298,0.0,0.0,1.0885679566513407,0.08481537447295848,0.7417849972074992,-0.1728621438353784,-0.14562845608280148,M,M,1,XS,0,-0.18065762723283452
88476,Marajo,-0.1646867783995468,0.8744237855720961,-1.188377119122732,0.446700468755682,0.0,0.0,1.0841124146567194,0.08481537447295848,0.6896541690974477,-0.16874359397672548,-0.8587349750164067,S,M,1,XS,0,-0.007606115321886993
88480,Marajo,-0.12576628729690384,0.807430477569144,-0.966738233775654,0.3033394099337961,0.0,0.0,0.782998327945867,0.08481537447295848,0.6607182985289414,-0.1591182156329392,-0.10281469246758072,S,M,1,XS,0,-0.16564860628591174
88485,Marajo,-0.7573185842127386,1.1349235660576291,-1.3213739903497383,0.24787207481877288,0.0,0.0,1.0847639722491624,0.07626626194057835,0.40339539541151503,-0.2169865966211595,0.6967950964331578,S,M,1,XS,0,-0.13027457948109566
88487,Marajo,-0.3785545610441993,0.9646322657505431,-1.1459035091898062,0.44747671228537195,0.0,0.0,0.0,0.08481537447295848,0.5847322676203868,-0.14379872929185472,-0.24601248472274082,S,M,1,XS,0,-0.19478476478400775
88490,Marajo,0.10892734821904017,0.9154390159612018,-1.242518742538287,0.2598835787367335,0.0,0.0,1.3474892649157362,0.09179742374304185,0.475239155910842,-0.16884864671823435,0.29342347927401213,M,M,1,XS,0,-0.07178804921041303
88502,Marajo,0.6285432786375433,1.017226732047884,-1.3231857484776646,0.6386047304447061,0.0,0.0,0.0,0.08478627907974476,0.3341626047919752,-0.17733285410992985,-0.42710034485795645,M,M,1,XS,0,-0.08643608196364401
88504,Marajo,-0.3178273410157557,0.7135314760334611,-0.9800450409851221,0.3761463858000076,0.0,0.0,0.0,0.07659306391079418,0.5087667321300083,-0.19984681918269293,-0.3596409832206892,S,M,1,XS,0,-0.186878628862338
