ALL_Uniq,Name_USGSO,Densità_pop,evi,eolico,eolico_std,offshore,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,superficie_res,Densità_pop_etichetta,Solar_etichetta,Wind_class,consumption_etichetta,NO_res,gdp_cons_pop_urban_merged
87980,Ilha Capinal,-1.0125953072024665,0.6057027859096293,0.8751100275786066,0.050619304273219916,0.0,0.0,2.103270702695055,0.08738230333191668,6.994368249157262,-0.035490335816861104,-0.447444473132701,S,M,1,S,0,-0.034798008554922266
87981,Ilha Caldeirão,-1.0689551761262033,0.85368898827922,0.8909784436915323,-0.11749758952258643,0.0,0.0,2.09226223608773,0.0911398028494219,7.241583482214217,-0.05242441641140375,-0.6453443334895559,S,M,1,S,0,-0.1091851497071432
87982,Ilha Grande de Gurupá,-1.4435056435080758,0.9531928517117042,0.754238872165792,0.03638470238601135,0.0,2.2201996886264848,2.69911934638915,0.09104127632119688,7.304551065608715,-0.13971806194404293,-1.0670050247265703,S,M,1,M,1,1.9275040294441181
87983,Ilha Acarapereira,-1.19369956060837,0.8803987169540305,0.9540308076930367,0.19787059574706287,0.0,0.0,2.2423979555129674,0.08715709817932739,6.8959343799344355,-0.0030202201221474424,0.2258793095998765,S,M,1,S,0,0.356991763905102
87984,Ilha Porquinhos,-0.8413874081183218,0.3005983245185563,1.0747063662053444,-0.12629852497437632,0.0,0.0,2.0074185391277646,0.08938779405881336,7.25590999832005,-0.07072710585902496,0.8490616976318113,S,M,1,XS,0,-0.11509701256083468
87986,Ilha Maracujá,-1.0498634693592803,0.7336102918306631,0.9243335038503057,-0.07311996330816246,0.0,0.0,2.1156568479657376,0.09520195474386454,7.128888696768037,-0.04972109508900194,0.718556272482441,S,M,1,S,0,-0.022704541510292532
87987,Ilha Vieira,-1.1343758585182389,0.7391296300150915,0.9093266806445097,-0.020233804088246096,0.0,0.0,2.213606439237142,0.09556905251193559,7.15321628862757,-0.035880431760470705,0.4332382591805281,S,M,1,S,0,0.011445617435272972
87988,Ilha Rasa,-0.9926089919630421,0.6848913056619657,1.132705664580756,-0.0761420582050529,0.0,0.0,1.9969875185330386,0.08941193871351667,7.111448262190235,-0.01540205149764954,0.38165928367021723,S,M,1,XS,0,-0.1689371166743346
87989,Ilha Charapucu,-1.34297009733581,0.9793346806983295,1.27770129432875,0.022953339612631272,0.0,0.0,2.4150774222424456,0.08252422470809906,6.850120750618319,0.014759845312172476,0.5166657484769622,S,M,1,M,0,0.8627994201339221
88142,Samiruddin Char,0.6667519785757899,-0.5271247778805317,1.6702823617623341,0.6334323626637307,0.0,0.0,0.0,-0.041344568017257693,6.863956928362099,-0.007258529494096013,-0.2094493524636216,M,M,1,XS,0,0.31548296453563546
88154,Île de Bai Luoi,1.1810081523654015,-1.045493285570725,2.2624666573036367,-0.21034604071773483,1.6574827667778163,0.0,0.0,0.13957205739837056,7.391989896301585,-0.17567691943320504,-0.06264482535092862,L,M,1,M,0,1.430843220056892
88321,UNNAMED,-0.06762889408895549,0.5094296481006718,0.5639951041402836,0.33721152164736223,0.0,0.0,0.0,0.12025752079016169,7.56012571660095,-0.36232446024248216,0.2460095878328295,M,M,1,S,0,0.14871506586360309
88330,UNNAMED,0.22894180313553952,0.7534225824004515,0.5497071597751693,0.4151301525719337,0.0,0.0,1.751811551409062,0.11558886853976545,7.649519257715958,-0.34922648941410955,-0.23827129494556856,M,M,1,XS,0,-0.048603165418986315
88335,UNNAMED,0.274797168487673,0.11245148961641123,0.5962349880000941,0.47279965579596217,0.0,0.0,0.0,0.1310738557514353,7.656567508379976,-0.3691093554317053,-0.42505152803600094,M,M,1,XS,0,-0.1500522371098014
88339,UNNAMED,0.22318197316612975,-0.044875049607433416,0.6612405821011973,0.5289368701052525,0.0,0.0,0.0,0.1327832420948825,7.81586146097547,-0.3499347287488255,-0.5386482828468011,M,M,1,XS,0,-0.12367957277310132
88340,UNNAMED,0.1691900160999427,0.5771105495661035,0.6205339552810348,0.5214980947579936,0.0,0.0,1.8578600102317258,0.13147319705668067,7.549096632562367,-0.373007740899254,0.08134524307234672,M,M,1,XS,0,0.022690844914489985
88341,UNNAMED,0.1649916321026688,0.06648636267371168,0.6298703230531328,0.5402369379067751,0.0,0.0,0.0,0.13458327830160724,7.545930400260071,-0.3595650969265483,-0.3576380479148514,M,M,1,XS,0,-0.19446479897447289
88342,UNNAMED,0.10321522760426315,0.07000105528813055,0.6298703230531328,0.5402369379067751,0.0,0.0,0.0,0.13388052774790313,7.460632284719395,-0.36410125674314286,-0.2270331342630822,M,M,1,XS,0,-0.18139931773442064
88348,UNNAMED,0.5187208528874042,-0.23229978550386537,1.1252794839828641,0.2876641060320114,0.0,0.0,0.0,0.1346973738777888,7.633773625165167,-0.33947641004917806,-0.6383748453423184,M,M,1,XS,0,-0.17535260699867922
88350,UNNAMED,0.12262148483147892,0.26541764187232963,0.8123182562723725,0.5576692770799,0.0,0.0,0.0,0.1346973738777888,7.41239395088644,-0.3559127455961274,-0.06175289469663095,M,M,1,XS,0,-0.1683050275558683
88353,UNNAMED,0.1711665866289801,0.3710726233501491,0.9162118055904812,0.4922682743220829,0.0,0.0,0.0,0.1346973738777888,7.535475937976849,-0.35065085188470113,0.042474919850835326,M,M,1,XS,0,-0.14960897614528634
88357,UNNAMED,0.24721494704192898,0.4515088037208852,0.9530514889311276,0.5008689107866563,0.0,0.0,1.7702256747386582,0.1346973738777888,7.426522836966583,-0.36655778824069674,0.16922280071369922,M,M,1,XS,0,-0.11101880661242419
88362,UNNAMED,0.2525175599209491,0.8095722758924292,0.9162118055904812,0.4922682743220829,0.0,0.0,0.0,0.1346973738777888,7.8496055422942375,-0.3362114079622511,-0.5472347434236969,M,L,1,XS,0,-0.13715640405819046
88370,UNNAMED,0.046098697453694444,-0.07653566405510862,0.9940784976436149,0.5023439750365738,0.0,0.0,0.0,0.1346973738777888,7.643870194418678,-0.3393245784746057,-0.46449775944348826,M,M,1,XS,0,-0.1736554040757738
